,gender,age,state,Household Size,Household Income,income
8645,female,43.0,WP Putrajaya,2 orang,2783.8333,2783.8333
13081,male,30.0,WP Putrajaya,1 orang,3467.5,3467.5
14891,Male,36.0,WP Putrajaya,5 orang,3764.1667,3764.1667
15240,Male,47.0,WP Putrajaya,2 orang,3829.8333,3829.8333
15592,Male,27.0,WP Putrajaya,4 orang,3895.0,3895.0
17578,Male,44.0,WP Putrajaya,6 orang dan lebih,4264.5835,4264.5835
18149,Male,39.0,WP Putrajaya,6 orang dan lebih,4367.9165,4367.9165
19105,Male,37.0,WP Putrajaya,2 orang,4554.6665,4554.6665
19676,Male,39.0,WP Putrajaya,6 orang dan lebih,4676.8335,4676.8335
19762,Male,34.0,WP Putrajaya,5 orang,4694.1665,4694.1665
19776,Male,42.0,WP Putrajaya,6 orang dan lebih,4696.6665,4696.6665
20085,Female,50.0,WP Putrajaya,5 orang,4760.8335,4760.8335
20356,Male,38.0,WP Putrajaya,5 orang,4818.75,4818.75
20379,Male,39.0,WP Putrajaya,4 orang,4824.4165,4824.4165
21209,Male,60.0,WP Putrajaya,1 orang,5011.25,5011.25
21709,Male,43.0,WP Putrajaya,3 orang,5125.5,5125.5
22782,Male,35.0,WP Putrajaya,1 orang,5390.1665,5390.1665
22842,Male,28.0,WP Putrajaya,1 orang,5404.1665,5404.1665
23117,Female,35.0,WP Putrajaya,2 orang,5475.25,3500.8333
23557,Male,39.0,WP Putrajaya,5 orang,5588.0,5588.0
24628,Male,34.0,WP Putrajaya,1 orang,5877.5,5877.5
24961,Female,42.0,WP Putrajaya,4 orang,5975.3335,5975.3335
25518,Male,41.0,WP Putrajaya,3 orang,6139.25,4008.3333
25793,Female,39.0,WP Putrajaya,1 orang,6220.8335,6220.8335
26293,Male,41.0,WP Putrajaya,2 orang,6376.0,4696.8335
26579,Male,73.0,WP Putrajaya,2 orang,6470.8335,6470.8335
26781,Female,42.0,WP Putrajaya,1 orang,6542.0835,6542.0835
26804,Male,38.0,WP Putrajaya,2 orang,6550.5,3954.5833
27337,Male,34.0,WP Putrajaya,5 orang,6762.8335,3584.0
27671,Female,24.0,WP Putrajaya,2 orang,6888.3335,2613.8333
27724,Male,40.0,WP Putrajaya,4 orang,6914.6665,2959.1667
27945,Male,40.0,WP Putrajaya,5 orang,7000.5,4135.5
27952,Female,41.0,WP Putrajaya,2 orang,7002.9165,7002.9165
27962,Male,53.0,WP Putrajaya,4 orang,7006.6665,7006.6665
28153,Male,37.0,WP Putrajaya,4 orang,7083.5,3008.5833
29017,Female,29.0,WP Putrajaya,2 orang,7455.0,4243.3335
29039,Male,50.0,WP Putrajaya,5 orang,7465.9165,2157.6667
29488,Male,40.0,WP Putrajaya,5 orang,7688.6665,3856.6667
29546,Male,33.0,WP Putrajaya,2 orang,7715.4165,4833.5835
30158,Male,37.0,WP Putrajaya,2 orang,8018.4165,4160.0835
30392,Male,39.0,WP Putrajaya,4 orang,8159.8335,2233.0
30403,Female,42.0,WP Putrajaya,3 orang,8165.9165,8165.9165
30446,Male,44.0,WP Putrajaya,1 orang,8187.5,8187.5
30492,Male,38.0,WP Putrajaya,6 orang dan lebih,8207.917,8207.917
30709,Male,43.0,WP Putrajaya,4 orang,8326.833,4279.3335
30943,Female,45.0,WP Putrajaya,1 orang,8456.667,8456.667
31177,Female,46.0,WP Putrajaya,1 orang,8592.5,8592.5
31279,Male,37.0,WP Putrajaya,1 orang,8648.333,8648.333
31573,Male,36.0,WP Putrajaya,3 orang,8839.75,3945.1667
31701,Male,30.0,WP Putrajaya,3 orang,8918.75,5448.75
31785,Male,40.0,WP Putrajaya,2 orang,8976.75,4894.8335
31823,Male,29.0,WP Putrajaya,2 orang,9004.5,5208.0835
31881,Male,39.0,WP Putrajaya,5 orang,9031.667,4667.5
31962,Male,40.0,WP Putrajaya,5 orang,9087.5,2910.0
31991,Male,41.0,WP Putrajaya,3 orang,9111.0,3803.5
32085,Male,36.0,WP Putrajaya,5 orang,9176.667,4954.1665
32100,Male,39.0,WP Putrajaya,6 orang dan lebih,9186.167,4192.5835
32326,Female,26.0,WP Putrajaya,2 orang,9345.333,3398.3333
32328,Male,42.0,WP Putrajaya,5 orang,9346.667,5118.0
32670,Male,39.0,WP Putrajaya,2 orang,9627.0,5706.6665
32984,Male,35.0,WP Putrajaya,4 orang,9884.167,3685.8333
32995,Male,41.0,WP Putrajaya,6 orang dan lebih,9891.5,5924.8335
33188,Female,50.0,WP Putrajaya,5 orang,10039.25,6158.8335
33285,Male,31.0,WP Putrajaya,3 orang,10113.0,4317.5
33317,Male,37.0,WP Putrajaya,4 orang,10140.333,4779.5
33365,Male,55.0,WP Putrajaya,5 orang,10182.75,7062.6665
33519,Male,42.0,WP Putrajaya,5 orang,10325.417,10325.417
33548,Male,35.0,WP Putrajaya,2 orang,10358.75,5265.8335
33622,Male,33.0,WP Putrajaya,3 orang,10433.25,5045.8335
33755,Male,59.0,WP Putrajaya,3 orang,10566.667,10566.667
33864,Female,46.0,WP Putrajaya,2 orang,10681.25,10681.25
33880,Male,45.0,WP Putrajaya,3 orang,10703.833,7733.3335
33896,Male,41.0,WP Putrajaya,1 orang,10720.417,10720.417
34026,Male,59.0,WP Putrajaya,3 orang,10858.583,4528.5
34148,Male,39.0,WP Putrajaya,5 orang,11002.5,5369.1665
34179,Male,43.0,WP Putrajaya,2 orang,11036.417,3391.5
34253,Male,36.0,WP Putrajaya,3 orang,11114.5,4028.8333
34265,Male,40.0,WP Putrajaya,4 orang,11122.667,5492.6665
34306,Male,42.0,WP Putrajaya,4 orang,11163.333,6240.0
34499,Male,47.0,WP Putrajaya,4 orang,11400.25,3605.5833
34560,Male,42.0,WP Putrajaya,6 orang dan lebih,11475.833,7070.8335
34798,Male,35.0,WP Putrajaya,5 orang,11791.833,6521.8335
34947,Female,44.0,WP Putrajaya,4 orang,11996.417,9901.5
34952,Male,40.0,WP Putrajaya,5 orang,12003.25,1833.5834
35151,Male,37.0,WP Putrajaya,4 orang,12251.083,6525.6665
35288,Male,41.0,WP Putrajaya,4 orang,12463.333,3650.4167
35542,Male,36.0,WP Putrajaya,5 orang,12900.0,6978.5835
35635,Male,40.0,WP Putrajaya,5 orang,13066.667,6606.6665
35725,Male,55.0,WP Putrajaya,5 orang,13245.0,13245.0
35794,Male,50.0,WP Putrajaya,2 orang,13364.75,7390.5835
35870,Male,38.0,WP Putrajaya,2 orang,13510.833,8103.25
35987,Male,47.0,WP Putrajaya,6 orang dan lebih,13729.333,4634.1665
36506,Male,36.0,WP Putrajaya,4 orang,15010.917,9027.417
36688,Male,35.0,WP Putrajaya,3 orang,15510.833,9435.0
36824,Male,46.0,WP Putrajaya,3 orang,15932.5,6812.75
36963,Male,34.0,WP Putrajaya,2 orang,16497.209,8461.125
37023,Male,44.0,WP Putrajaya,6 orang dan lebih,16739.166,8090.0
37093,Male,48.0,WP Putrajaya,5 orang,16975.166,7956.1665
37187,Male,41.0,WP Putrajaya,5 orang,17363.334,9915.0
37199,Male,41.0,WP Putrajaya,6 orang dan lebih,17414.916,7840.8335
37344,Male,43.0,WP Putrajaya,6 orang dan lebih,18108.334,10408.333
37541,Male,40.0,WP Putrajaya,5 orang,19119.75,10419.417
37681,Male,41.0,WP Putrajaya,5 orang,20015.334,9816.667
37754,Male,38.0,WP Putrajaya,1 orang,20616.666,20616.666
37969,Male,43.0,WP Putrajaya,6 orang dan lebih,23350.666,18343.666
37974,Male,40.0,WP Putrajaya,6 orang dan lebih,23468.5,14285.75
38015,Male,59.0,WP Putrajaya,2 orang,24299.166,17279.584
38023,Male,42.0,WP Putrajaya,5 orang,24414.084,12754.833
